code,type,2012,2013,2014,2015,2016,same text over time?
26 02,program,გამოძიებაზე ზედამხედველობის სახელმწიფო ბრალდების მხარდაჭერის დანაშაულის წინააღმდეგ ბრძოლისა და პრევენციის პროგრამა,გამოძიებაზე ზედამხედველობის სახელმწიფო ბრალდების მხარდაჭერის დანაშაულის წინააღმდეგ ბრძოლისა და პრევენციის პროგრამა,"გამოძიებაზე ზედამხედველობის, სახელმწიფო ბრალდების მხარდაჭერის, დანაშაულის წინააღმდეგ ბრძოლისა და პრევენციის პროგრამა","გამოძიებაზე ზედამხედველობის, სახელმწიფო ბრალდების მხარდაჭერის, დანაშაულის წინააღმდეგ ბრძოლისა და პრევენციის პროგრამა","გამოძიებაზე ზედამხედველობის, სახელმწიფო ბრალდების მხარდაჭერის, დანაშაულის წინააღმდეგ ბრძოლისა და პრევენციის პროგრამა",false
26 03,program,ეროვნული საარქივო ფონდის დაცულობის მომსახურების თანამედროვე ტექნოლოგიების დანერგვის და დოკუმენტების ხელმისაწვდომობის უზრუნველყოფა,ეროვნული საარქივო ფონდის დაცულობის მომსახურების თანამედროვე ტექნოლოგიების დანერგვის და დოკუმენტების ხელმისაწვდომობის უზრუნველყოფა,"ეროვნული საარქივო ფონდის დაცულობის, მომსახურების თანამედროვე ტექნოლოგიების დანერგვის და დოკუმენტების ხელმისაწვდომობის უზრუნველყოფა","ეროვნული საარქივო ფონდის დაცულობის, მომსახურების თანამედროვე ტექნოლოგიების დანერგვის და დოკუმენტების ხელმისაწვდომობის უზრუნველყოფა","ეროვნული საარქივო ფონდის დაცულობის, მომსახურების თანამედროვე ტექნოლოგიების დანერგვის და დოკუმენტების ხელმისაწვდომობის უზრუნველყოფა",false
26 04,program,იუსტიციის სამინისტროს სისტემის თანამშრომელთა გადამზადება და სასწავლო ცენტრის განვითარება,იუსტიციის სამინისტროს სისტემის თანამშრომელთა გადამზადება და სასწავლო ცენტრის განვითარება,იუსტიციის სამინისტროს სისტემის თანამშრომელთა გადამზადება და სასწავლო ცენტრის განვითარება,იუსტიციის სამინისტროს სისტემის თანამშრომელთა გადამზადება და სასწავლო ცენტრის განვითარება,საქართველოს იუსტიციის სამინისტროს სისტემის თანამშრომელთა გადამზადება და სასწავლო ცენტრის განვითარება,false
26 05,program,ელექტრონული მმართველობის განვითარება,ელექტრონული მმართველობის განვითარება,ელექტრონული მმართველობის განვითარება,ელექტრონული მმართველობის განვითარება,ელექტრონული მმართველობის განვითარება,true
26 06,program,იუსტიციის სახლების ფარგლებში მომსახურებათა ეფექტიანი წარმოება და ყველა დაინტერესებული პირისათვის ხელმისაწვდომობა,იუსტიციის სახლების ფარგლებში მომსახურებათა ეფექტიანი წარმოება და ყველა დაინტერესებული პირისათვის ხელმისაწვდომობა,ერთიანი სახელმწიფო საინფორმაციო ტექნოლოგიების მხარდაჭერის განვითარება,ერთიანი სახელმწიფო საინფორმაციო ტექნოლოგიების მხარდაჭერის განვითარება,ერთიანი სახელმწიფო საინფორმაციო ტექნოლოგიების მხარდაჭერის განვითარება,false
26 07,program,,ერთიანი სახელმწიფო საინფორმაციო ტექნოლოგიების მხარდაჭერის განვითარება,დანაშაულის პრევენცია და ინოვაციური პროგრამები,დანაშაულის პრევენცია და ინოვაციური პროგრამები,დანაშაულის პრევენცია და ინოვაციური პროგრამები,false
26 08,program,ერთიანი სახელმწიფო საინფორმაციო ტექნოლოგიების მხარდაჭერის განვითარება,დანაშაულის პრევენცია და ინოვაციური პროგრამები,სახელმწიფო სერვისების განვითარების სააგენტოს მომსახურებათა განვითარება და ხელმისაწვდომობა,სახელმწიფო სერვისების განვითარების სააგენტოს მომსახურებათა განვითარება და ხელმისაწვდომობა,სახელმწიფო სერვისების განვითარების სააგენტოს მომსახურებათა განვითარება და ხელმისაწვდომობა,false
26 09,program,ტურისტული საინვესტიციო და ინფრასტრუქტურული პროექტების კოორდინაცია და მონიტორინგი,,საჯარო რეესტრის ეროვნული სააგენტოს მომსახურებათა განვითარება და ხელმისაწვდომობა,იუსტიციის სახლის მომსახურებათა განვითარება და ხელმისაწვდომობა,მიწის ბაზრის განვითარება (WB),false
26 10,program,,,იუსტიციის სახლის მომსახურებათა განვითარება და ხელმისაწვდომობა,ნორმატიული აქტების სისტემატიზაცია და მთარგმნელობითი ცენტრის განვითარება,იუსტიციის სახლის მომსახურებათა განვითარება და ხელმისაწვდომობა,false
26 12,program,,,,,საჯარო რეესტრის ეროვნული სააგენტოს მომსახურებათა განვითარება და ხელმისაწვდომობა,true
26 14,program,,,,მიწის ბაზრის განვითარება (WB),,true
27 00,spending agency,საქართველოს სასჯელაღსრულების პრობაციისა და იურიდიული დახმარების საკითხთა სამინისტრო,საქართველოს სასჯელაღსრულების პრობაციისა და იურიდიული დახმარების საკითხთა სამინისტრო,"საქართველოს სასჯელაღსრულების, პრობაციისა და იურიდიული დახმარების საკითხთა სამინისტრო",საქართველოს სასჯელაღსრულებისა და პრობაციის სამინისტრო,საქართველოს სასჯელაღსრულებისა და პრობაციის სამინისტრო,false
27 01,program,პენიტენციური სისტემის პოლიტიკის შემუშავება და მართვა,პენიტენციური სისტემის პოლიტიკის შემუშავება და მართვა,პენიტენციური სისტემის პოლიტიკის შემუშავება და მართვა,პენიტენციური სისტემის პოლიტიკის შემუშავება და მართვა,საერთაშორისო სტანდარტების შესაბამისი პენიტენციური სისტემის ჩამოყალიბება,false
27 01 01,sub-program,,,,,"პენიტენციური სისტემის პოლიტიკის შემუშავება, მართვა და ბრალდებულ/მსჯავრდებულთა ყოფითი პირობების გაუმჯობესება",true
27 01 02,sub-program,,,,,ბრალდებულთა და მსჯავრდებულთა ეკვივალენტური სამედიცინო მომსახურებით უზრუნველყოფა,true
27 01 03,sub-program,,,,,პენიტენციური სისტემის ინფრასტრუქტურის გაუმჯობესება,true
27 02,program,სისხლის სამართლის სისტემის რეფორმა,სისხლის სამართლის სისტემის რეფორმა,სისხლის სამართლის სისტემის რეფორმა,სისხლის სამართლის სისტემის რეფორმა,სრულყოფილი პრობაციის სისტემა,false
27 02 01,sub-program,საერთაშორისო სტანდარტების შესაბამისი პენიტენციური სისტემის ჩამოყალიბება,საერთაშორისო სტანდარტების შესაბამისი პენიტენციური სისტემის ჩამოყალიბება,საერთაშორისო სტანდარტების შესაბამისი პატიმრობისა და თავისუფლების აღკვეთის აღსრულების სისტემის ჩამოყალიბება,საერთაშორისო სტანდარტების შესაბამისი პატიმრობისა და თავისუფლების აღკვეთის აღსრულების სისტემის ჩამოყალიბება,,false
27 02 02,sub-program,პრობაციის სრულყოფილი სისტემის ჩამოყალიბება,პრობაციის სრულყოფილი სისტემის ჩამოყალიბება,სრულყოფილი პრობაციის სისტემა,სრულყოფილი პრობაციის სისტემა,,false
27 02 03,sub-program,უფასო იურიდიული დახმარება,უფასო იურიდიული დახმარება,უფასო იურიდიული დახმარება,,,true
27 03,program,პენიტენციური სისტემისათვის კვალიფიციური კადრების მომზადება,პენიტენციური სისტემისათვის კვალიფიციური კადრების მომზადება,სასჯელაღსრულებისა და პრობაციის სისტემისათვის თანამშრომელთა მომზადება და პროფესიული განვითარება,სასჯელაღსრულებისა და პრობაციის სისტემისათვის თანამშრომელთა მომზადება და პროფესიული განვითარება,სასჯელაღსრულებისა და პრობაციის სისტემისათვის თანამშრომელთა მომზადება და პროფესიული განვითარება,false
27 04,program,ჯანმრთელობის დაცვის ხელშეწყობა პატიმრობისა და თავისუფლების აღკვეთის დაწესებულებებში,ჯანმრთელობის დაცვის ხელშეწყობა პატიმრობისა და თავისუფლების აღკვეთის დაწესებულებებში,ბრალდებულთა და მსჯავრდებულთა უზრუნველყოფა ეკვივალენტური სამედიცინო მომსახურებით,ბრალდებულთა და მსჯავრდებულთა უზრუნველყოფა ეკვივალენტური სამედიცინო მომსახურებით,,false
28 00,spending agency,საქართველოს საგარეო საქმეთა სამინისტრო,საქართველოს საგარეო საქმეთა სამინისტრო,საქართველოს საგარეო საქმეთა სამინისტრო,საქართველოს საგარეო საქმეთა სამინისტრო,საქართველოს საგარეო საქმეთა სამინისტრო,true
28 01,program,საგარეო პოლიტიკის განხორციელება,საგარეო პოლიტიკის განხორციელება,საგარეო პოლიტიკის განხორციელება,საგარეო პოლიტიკის განხორციელება,საგარეო პოლიტიკის განხორციელება,true
28 01 01,sub-program,საგარეო პოლიტიკის დაგეგმვა და მართვა,საგარეო პოლიტიკის დაგეგმვა და მართვა,საგარეო პოლიტიკის დაგეგმვა და მართვა,საგარეო პოლიტიკის დაგეგმვა და მართვა,საგარეო პოლიტიკის დაგეგმვა და მართვა,true
28 01 01 01,sub-sub-program,,საქართველოს საგარეო საქმეთა სამინისტროს აპარატი,,,,true
28 01 01 02,sub-sub-program,,საზღვარგარეთ საქართველოს დიპლომატიური დაწესებულებები წარმომადგენლობები,,,,true
28 01 02,sub-program,საერთაშორისო ორგანიზაციებში არსებული ფინანსური ვალდებულებების უზრუნველყოფა,საერთაშორისო ორგანიზაციებში არსებული ფინანსური ვალდებულებების უზრუნველყოფა,საერთაშორისო ორგანიზაციებში არსებული ფინანსური ვალდებულებების უზრუნველყოფა,საერთაშორისო ორგანიზაციებში არსებული ფინანსური ვალდებულებების უზრუნველყოფა,საერთაშორისო ორგანიზაციებში არსებული ფინანსური ვალდებულებების უზრუნველყოფა,true
28 01 03,sub-program,საერთაშორისო ხელშეკრულებების და სხვა დოკუმენტების თარგმნა და დამოწმება,საერთაშორისო ხელშეკრულებების და სხვა დოკუმენტების თარგმნა და დამოწმება,საერთაშორისო ხელშეკრულებების და სხვა დოკუმენტების თარგმნა და დამოწმება,საერთაშორისო ხელშეკრულებების და სხვა დოკუმენტების თარგმნა და დამოწმება,საერთაშორისო ხელშეკრულებების და სხვა დოკუმენტების თარგმნა და დამოწმება,true
28 02,program,მოხელეთა კვალიფიკაციის ამაღლება საერთაშორისო ურთიერთობების დარგში,მოხელეთა კვალიფიკაციის ამაღლება საერთაშორისო ურთიერთობების დარგში,მოხელეთა კვალიფიკაციის ამაღლება საერთაშორისო ურთიერთობების დარგში,მოხელეთა კვალიფიკაციის ამაღლება საერთაშორისო ურთიერთობების დარგში,მოხელეთა კვალიფიკაციის ამაღლება საერთაშორისო ურთიერთობების დარგში,true
29 00,spending agency,საქართველოს თავდაცვის სამინისტრო,საქართველოს თავდაცვის სამინისტრო,საქართველოს თავდაცვის სამინისტრო,საქართველოს თავდაცვის სამინისტრო,საქართველოს თავდაცვის სამინისტრო,true
29 01,program,შეიარაღებული ძალების მზადყოფნის შენარჩუნება და ამაღლება,შეიარაღებული ძალების მზადყოფნის შენარჩუნება და ამაღლება,შეიარაღებული ძალების მზადყოფნის შენარჩუნება და ამაღლება,შეიარაღებული ძალების მზადყოფნის შენარჩუნება და ამაღლება,შეიარაღებული ძალების საბრძოლო მზადყოფნის შენარჩუნების მხარდაჭერა და შესაძლებლობების განვითარება,false
29 02,program,სამხედრო განათლების განვითარება,სამხედრო განათლების განვითარება,სამხედრო განათლების განვითარება,სამხედრო განათლების განვითარება,სამხედრო წვრთნა და განათლება,false
29 03,program,საქართველოს თავდაცვის სამინისტროს პერსონალის ჯანმრთელობის დაცვა და სოციალური უზრუნველყოფა,საქართველოს თავდაცვის სამინისტროს პერსონალის ჯანმრთელობის დაცვა და სოციალური უზრუნველყოფა,საქართველოს თავდაცვის სამინისტროს პერსონალის ჯანმრთელობის დაცვა და სოციალური უზრუნველყოფა,საქართველოს თავდაცვის სამინისტროს პერსონალის ჯანმრთელობის დაცვა და სოციალური უზრუნველყოფა,სოციალური და სამედიცინო უზრუნველყოფა,false
29 04,program,თავდაცვის სფეროში სამეცნიერო კვლევების ხელშეწყობა,თავდაცის სფეროში სამეცნიერო კვლევების ხელშეწყობა,თავდაცვის სფეროში სამეცნიერო კვლევების ხელშეწყობა,კიბერუსაფრთხოების უზრუნველყოფა,"მართვის, კონტროლის, კავშირგაბმულობის და კომპიუტერული სისტემები",false
29 05,program,,,კიბერუსაფრთხოების უზრუნველყოფა,სამეცნიერო კვლევების ხელშეწყობა,ინფრასტრუქტურის განვითარება,false
29 06,program,,,ვეტერანთა მხარდაჭერა,საქართველოს შეიარაღებული ძალების შესაძლებლობის გაძლიერება (SG),საერთაშორისო თანამშრომლობა,false
29 07,program,,,,,სამეცნიერო კვლევების ხელშეწყობა,true
29 08,program,,,,,საქართველოს შეიარაღებული ძალების შესაძლებლობის გაძლიერება (SG),true
30 00,spending agency,საქართველოს შინაგან საქმეთა სამინისტრო,საქართველოს შინაგან საქმეთა სამინისტრო,საქართველოს შინაგან საქმეთა სამინისტრო,საქართველოს შინაგან საქმეთა სამინისტრო,საქართველოს შინაგან საქმეთა სამინისტრო,true
30 01,program,საზოგადოებრივი წესრიგისა და სახელმწიფო საზღვრის დაცვა,საზოგადოებრივი წესრიგი სახელმწიფო საზღვრის დაცვა და საერთაშორისო თანამშრომლობის განვითარება გაღრმავება,"საზოგადოებრივი წესრიგი, სახელმწიფო საზღვრის დაცვა და საერთაშორისო თანამშრომლობის განვითარება/გაღრმავება","საზოგადოებრივი წესრიგი, სახელმწიფო საზღვრის დაცვა და საერთაშორისო თანამშრომლობის განვითარება/გაღრმავება","საზოგადოებრივი წესრიგი, სახელმწიფო საზღვრის დაცვა და საერთაშორისო თანამშრომლობის განვითარება/გაღრმავება",false
30 02,program,ეროვნული საგანძურისა და დიპლომატიური წარმომადგენლობების დაცვის უსაფრთხოების დონის ამაღლება,ეროვნული საგანძურისა და დიპლომატიური წარმომადგენლობების დაცვის უსაფრთხოების დონის ამაღლება,ეროვნული საგანძურისა და დიპლომატიური წარმომადგენლობების დაცვის უსაფრთხოების დონის ამაღლება,ეროვნული საგანძურისა და დიპლომატიური წარმომადგენლობების დაცვის უსაფრთხოების დონის ამაღლება,"ეროვნული საგანძურის, დიპლომატიური წარმომადგენლობებისა და საპატრიარქოს დაცვის უსაფრთხოების დონის ამაღლება",false
30 03,program,სამართალდამცავი სტრუქტურებისათვის მაღალკვალიფიციური კადრების მომზადება გადამზადება და სასწავლო პროცესის ხელშეწყობა,სამართალდამცავი სტრუქტურებისათვის მაღალკვალიფიციური კადრების მომზადება გადამზადება საარქივო ფონდების დიგიტალიზაცია სამეცნიერო კვლევითი საქმიანობა და მოქალაქეთა მომსახურება,"სამართალდამცავი სტრუქტურებისათვის მაღალკვალიფიციური კადრების მომზადება, გადამზადება, საარქივო ფონდების დიგიტალიზაცია, სამეცნიერო-კვლევითი საქმიანობა და მოქალაქეთა მომსახურება",სამართალდამცავი სტრუქტურებისათვის მაღალკვალიციფიური კადრების მომზადება–გადამზადება და სასწავლო პროცესის ხელშეწყობა,"სამართალდამცავი სრუქტურებისათვის მაღალკვალიფიციური კადრების მომზადება, გადამზადება, საარქივო ფონდების დიგიტალიზაცია, სამეცნიერო - კვლევითი საქმიანობა და მოქალაქეთა მომსახურება",false
30 04,program,შინაგან საქმეთა სამინისტროს სისიტემის მოსამსახურეთა ჯანმრთელობის დაცვის მომსახურებით უზრუნველყოფა,შინაგან საქმეთა სამინისტროს სისტემის მოსამსახურეთა ჯანმრთელობის დაცვის მომსახურეობით უზრუნველყოფა,შინაგან საქმეთა სამინისტროს სისტემის მოსამსახურეთა ჯანმრთელობის დაცვის მომსახურეობით უზრუნველყოფა,შინაგან საქმეთა სამინისტროს სისტემის მოსამსახურეთა ჯანმრთელობის დაცვის მომსახურეობით უზრუნველყოფა,შინაგან საქმეთა სამინისტროს სისტემის მოსამსახურეთა ჯანმრთელობის დაცვის მომსახურებით უზრუნველყოფა,false
30 05,program,სახელმწიფო მატერიალური რეზერვების შექმნა და მართვა,სახელმწიფო მატერიალური რეზერვების შექმნა და მართვა,სახელმწიფო მატერიალური რეზერვების შექმნა და მართვა,სახელმწიფო მატერიალური რეზერვების შექმნა და მართვა,სახელმწიფო მატერიალური რეზერვების შექმნა და მართვა,true
30 06,program,საარქივო ფონდების დიგიტალიზაცია სამეცნიერო კვლევითი საქმიანობა და მოქალაქეთა მომსახურება,,,სამოქალაქო უსაფრთხოების დონის ამაღლება,სამოქალაქო უსაფრთხოების დონის ამაღლება,false
31 00,spending agency,საქართველოს დაზვერვის სამსახური,საქართველოს დაზვერვის სამსახური,საქართველოს დაზვერვის სამსახური,საქართველოს დაზვერვის სამსახური,საქართველოს დაზვერვის სამსახური,true
32 00,spending agency,საქართველოს განათლებისა და მეცნიერების სამინისტრო,საქართველოს განათლებისა და მეცნიერების სამინისტრო,საქართველოს განათლებისა და მეცნიერების სამინისტრო,საქართველოს განათლებისა და მეცნიერების სამინისტრო,საქართველოს განათლებისა და მეცნიერების სამინისტრო,true
32 01,program,განათლებისა და მეცნიერების სფეროში სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,განათლებისა და მეცნიერების სფეროში სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,განათლებისა და მეცნიერების სფეროში სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,განათლებისა და მეცნიერების სფეროში სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,განათლებისა და მეცნიერების სფეროში სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,true
32 02,program,ზოგადი განათლება,ზოგადი განათლება,ზოგადი განათლება,ზოგადი განათლება,ზოგადი განათლება,true
32 02 01,sub-program,ზოგადსაგანმანათლებლო სკოლების დაფინანსება,ზოგადსაგანმანათლებლო სკოლების დაფინანსება,ზოგადსაგანმანათლებლო სკოლების დაფინანსება,ზოგადსაგანმანათლებლო სკოლების დაფინანსება,ზოგადსაგანმანათლებლო სკოლების დაფინანსება,true
32 02 02,sub-program,მასწავლებელთა პროფესიული განვითარების ხელშეწყობა,მასწავლებელთა პროფესიული განვითარების ხელშეწყობა,მასწავლებელთა პროფესიული განვითარების ხელშეწყობა,მასწავლებელთა პროფესიული განვითარების ხელშეწყობა,მასწავლებელთა პროფესიული განვითარების ხელშეწყობა,true
32 02 03,sub-program,უსაფრთხო საგანმანათლებლო გარემოს უზრუნველყოფა,უსაფრთხო საგანმანათლებლო გარემოს უზრუნველყოფა,უსაფრთხო საგანმანათლებლო გარემოს უზრუნველყოფა,უსაფრთხო საგანმანათლებლო გარემოს უზრუნველყოფა,უსაფრთხო საგანმანათლებლო გარემოს უზრუნველყოფა,true
32 02 04,sub-program,განსაკუთრებით ნიჭიერი ახალგაზრდების წახალისება,განსაკუთრებით ნიჭიერი ახალგაზრდების წახალისება,განსაკუთრებით ნიჭიერი ახალგაზრდების წახალისება,წარმატებულ მოსწავლეთა წახალისება,წარმატებულ მოსწავლეთა წახალისება,false
32 02 05,sub-program,განსაკუთრებული საჭიროების მქონე ბავშვების საგანმანათლებლო და საცხოვრებელი პირობებით უზრუნველყოფა და ინკლუზიური განათლების განვითარება,განსაკუთრებული საჭიროების მქონე ბავშვების საგანმანათლებლო და საცხოვრებელი პირობებით უზრუნველყოფა და ინკლუზიური განათლების განვითარება,განსაკუთრებული საჭიროების მქონე ბავშვების საგანმანათლებლო და საცხოვრებელი პირობებით უზრუნველყოფა და ინკლუზიური განათლების განვითარება,განსაკუთრებული საჭიროების მქონე ბავშვების საგანმანათლებლო და საცხოვრებელი პირობებით უზრუნველყოფა და ინკლუზიური განათლების განვითარება,განსაკუთრებული საჭიროების მქონე ბავშვების საგანმანათლებლო და საცხოვრებელი პირობებით უზრუნველყოფა და ინკლუზიური განათლების განვითარება,true
32 02 06,sub-program,მოსწავლეების სახელმძღვანელოებით უზრუნველყოფა,მოსწავლეების სახელმძღვანელოებით უზრუნველყოფა,მოსწავლეების სახელმძღვანელოებით უზრუნველყოფა,მოსწავლეების სახელმძღვანელოებით უზრუნველყოფა,მოსწავლეების სახელმძღვანელოებით უზრუნველყოფა,true
32 02 07,sub-program,ინგლისური ენის გაძლიერება,ინგლისური ენის სწავლების გაძლიერება,საზაფხულო სკოლები,საზაფხულო სკოლები,საზაფხულო სკოლები,false
32 02 08,sub-program,ოკუპირებული რეგიონების პედაგოგებისა და ადმინისტრაციულ ტექნიკური პერსონალის ფინანსური დახმარება,ოკუპირებული რეგიონების პედაგოგებისა და ადმინისტრაციულ ტექნიკური პერსონალის ფინანსური დახმარება,ოკუპირებული რეგიონების პედაგოგებისა და ადმინისტრაციულ-ტექნიკური პერსონალის ფინანსური დახმარება,ოკუპირებული რეგიონების პედაგოგებისა და ადმინისტრაციულ-ტექნიკური პერსონალის ფინანსური დახმარება,ოკუპირებული რეგიონების პედაგოგებისა და ადმინისტრაციულ-ტექნიკური პერსონალის ფინანსური დახმარება,false
32 02 09,sub-program,სასჯელაღსრულების დაწესებულებებში განათლების მიღების ხელმისაწვდომობის პროგრამა,სასჯელაღსრულების დაწესებულებებში განათლების მიღების ხელმისაწვდომობის პროგრამა,სასჯელაღსრულების დაწესებულებებში განათლების მიღების ხელმისაწვდომობის პროგრამა,ბრალდებული და მსჯავრდებული პირებისათვის განათლების მიღების ხელმისაწვდომობა,ბრალდებული და მსჯავრდებული პირებისათვის განათლების მიღების ხელმისაწვდომობა,false
